step,motorID,angle
0,15,1752
0,25,2070
1,14,979
1,24,987
2,13,1155
2,23,3150
3,12,2167
3,22,2008
4,11,2135
4,21,1848
5,31,2200
5,32,2047
5,33,2040
6,34,1933
6,35,2291
6,36,517
7,41,2949
7,51,1567
7,37,414
8,42,2858
8,52,1878
9,43,1810
9,53,2551
10,44,1701
10,54,3409
