step,motorID,angle
0,13,1512
0,14,1288
0,15,2029
0,23,2724
0,24,1260
0,25,2017
1,13,2537
1,14,1361
1,15,2112
1,33,1885
2,13,1103
2,14,750
2,15,1632
3,24,1424
3,32,1806
3,51,2437
3,52,1067
3,53,2041
3,54,2567
4,14,918
4,21,1939
4,22,2329
4,23,3148
4,24,865
4,25,2382
4,33,2143
5,51,1660
5,54,3320
